Timestamp,Topic,Name,Role,Message
14:00:00,Soccer Players / Training Grounds,Toby,Academy Player / Entry-Level,Coach I keep slipping on the North Pitch during passing drills.
14:01:15,Soccer Players / Training Grounds,Coach Miller,Manager,Did you check your studs Toby? The standard equipment guide says to use 13mm studs for training.
14:02:10,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,"Coach, 13mm isn't going to work on the North Pitch today."
14:03:00,Soccer Players / Training Grounds,Coach Miller,Manager,Why not? It hasn't rained in two days.
14:03:45,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,The groundskeeper always over-waters the left flank of the North Pitch on Thursdays. It's basically a swamp over there.
14:04:30,Soccer Players / Training Grounds,Toby,Academy Player / Entry-Level,So what should I wear?
14:05:15,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,You need the 15mm soft-ground studs. Unwritten rule of the North Pitch.
14:06:00,Soccer Players / Training Grounds,Jamie,Mid-Level Player,Honestly just wrap your boots in duct tape. Gives you way more grip.
14:07:00,Soccer Players / Training Grounds,Toby,Academy Player / Entry-Level,Duct tape? Seriously?
14:07:45,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,"Jamie is an idiot, Toby. Don't put tape on your boots. He's joking."
14:08:30,Soccer Players / Training Grounds,Coach Miller,Manager,"Alright, everyone switch to 15mm if you're playing the left wing. I'll talk to the groundskeeper about the sprinkler timers."
14:15:00,Soccer Players / Training Grounds,Toby,Academy Player / Entry-Level,My right hamstring feels a bit tight after that last sprint.
14:16:15,Soccer Players / Training Grounds,Jamie,Mid-Level Player,You should probably retire. It's over for you.
14:17:00,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,"Stop messing with the kid, Jamie. Toby, go see the physio and ask for the deep-tissue roller."
14:18:00,Soccer Players / Training Grounds,Toby,Academy Player / Entry-Level,Thanks Carlos. Is the physio in the main building?
14:19:15,Soccer Players / Training Grounds,Coach Miller,Manager,Yes second door on the left.
14:30:00,Soccer Players / Training Grounds,Jamie,Mid-Level Player,Can we end practice early? I want to go play FIFA.
14:31:00,Soccer Players / Training Grounds,Coach Miller,Manager,"We end when the drills are done, Jamie. Focus up."
14:32:00,Soccer Players / Training Grounds,Carlos,Veteran / Senior Player,"If Jamie spent as much time practicing as he did playing video games, he might actually make the starting lineup."
